Ticket,Title,Phase,Description,Est Hours,Assigned To,Frequency
AFFG-016,Compliance Evidence Package Assembly,Phase 5: Testing Validation & Go-Live,"Assemble the complete compliance evidence package for AFFG's regulatory requirements. Export and document: firewall rule configurations, IPS signature settings, TLS inspection policies, application control rules, web filtering policies, logging configuration screenshots, Sophos Central dashboard screenshots, CloudBrink SD-WAN configuration, and DoS protection settings. Map each evidence artifact to the specific compliance control it satisfies (SEC Reg S-P, FINRA, FTC Safeguards Rule, HIPAA, SOC 2, PCI-DSS, GDPR). Package for AFFG compliance team and auditor review.",2,CHD-TS1,One-Time
AFFG-017,Production Cutover & Post-Cutover Monitoring,Phase 5: Testing Validation & Go-Live,"Execute coordinated production cutover to route all AFFG traffic through the Sophos SF V-2C4 firewall with minimal disruption to Client operations. Coordinate maintenance window with AFFG point of contact (Iris Liu). Monitor firewall performance, throughput, CPU/memory utilization, IPS events, and connectivity for the first 48 hours post-cutover. Identify and resolve any issues including false-positive IPS blocks, application access issues, or performance degradation. Confirm all 15 users have full connectivity. Provide go-live confirmation to Client.",3,IRV-TS1,One-Time
AFFG-018,Firewall Log & Configuration Export to Client,Ongoing Support,"Export and deliver to Client all available firewall logs, configuration files, and reporting data from Sophos Central in a machine-readable format per SOW Section 5.4.1. Client requires these exports for FINRA record retention obligations (minimum 24-month retention). Verify export completeness, package files, and deliver to Client point of contact (Iris Liu). Maintain export log for audit trail.",1,CHD-TS1,Monthly
AFFG-019,Sophos Central Monitoring & Alert Review,Ongoing Support,"Review Sophos Central dashboard for AFFG firewall health, active alerts, IPS events, ATP detections, blocked threats, and system resource utilization. Investigate and resolve any critical or high-severity alerts. Document findings and any remediation actions taken. Escalate unresolved security incidents per AFFG's compliance requirements. Ensure 72-hour breach detection capability is maintained per SEC Reg S-P and BCP review findings.",1,CHD-TS1,Weekly
AFFG-020,IPS Signature & Firmware Update Management,Ongoing Support,"Review and apply IPS signature updates pushed via Sophos Central. Evaluate new signature categories for relevance to AFFG's financial services environment. Review and schedule firmware/patch updates for the Sophos SF V-2C4 virtual firewall and ESXi hypervisor during approved maintenance windows. Test updates in a controlled manner to avoid service disruption. Document all changes applied for compliance audit trail.",1,CHD-TS1,Monthly
AFFG-021,Firewall Policy Review & Optimization,Ongoing Support,"Review firewall access control rules, application control policies, web filtering categories, and TLS inspection exceptions for accuracy and relevance. Remove stale or unused rules. Validate policies still align with AFFG's compliance requirements and acceptable use policy. Identify and address policy drift. Process any Client-requested firewall rule changes via change management (SOW Section 8). Document all changes.",2,IRV-TS1,Quarterly
AFFG-022,Xstream Protection Bundle License Renewal,Ongoing Support,"Manage annual renewal of Sophos SF V-2C4 Xstream Protection Bundle license (SO-2C4G, $350/yr) and Edge Appliance 16GB managed service (Edge-16M, $100/yr). Verify license activation and feature availability post-renewal. Confirm all protection features (IPS, ATP, TLS inspection, app control, web filtering, sandboxing) remain active. Notify Client of upcoming renewal 30 days in advance. Total annual subscription: $450.00.",1,CHD-TS1,Annual
AFFG-023,CloudBrink SD-WAN User Access Management,Ongoing Support,"Process CloudBrink SD-WAN remote access provisioning and deprovisioning requests for AFFG users. Add new remote users with MFA-enabled secure access. Revoke access for departed employees within Client-specified timeframe. Maintain current user access list and validate against Client's authorized user roster. Ensure compliance with FTC Safeguards Rule MFA requirements and PCI-DSS Req 8 user identification controls.",0.5,CHD-TS1,As Needed
AFFG-024,Compliance Evidence Package Refresh,Ongoing Support,"Refresh the compliance evidence package originally assembled in AFFG-016. Export current firewall rule configurations, IPS settings, logging screenshots, Sophos Central dashboard state, and CloudBrink SD-WAN configuration. Update compliance control mapping with any policy changes made since last refresh. Package for AFFG compliance team in preparation for SEC/FINRA examinations, SOC 2 audits, or internal compliance reviews.",2,CHD-TS1,Semi-Annual
AFFG-025,Termination Services - Data Export & Secure Wipe,Ongoing Support,"Upon termination or expiration of managed services engagement: (1) Perform final export of all remaining firewall logs, configs, and reporting data not yet delivered to Client per Section 5.4.1. (2) Perform on-site secure wipe (factory reset) of Edge Appliance before it leaves Client premises per Section 5.4.2. (3) Revoke and destroy all CloudBrink SD-WAN credentials, TLS inspection private keys, and cryptographic credentials within 10 business days per Section 5.4.3. (4) Deactivate Client's Sophos Central account. (5) Issue written Certificate of Destruction per Section 5.4.4 within 10 business days. Billed T&M at Sr. Engineer (US) rate $150/hr, estimated 3 hours ($450).",3,IRV-TS1,Upon Termination
