Ticket,Title,Phase,Description,Est Hours,Assigned To,Frequency
AFFG-004-011,CloudBrink Agent Deployment to 9 Managed Laptops,Phase 2: Access Control,"Deploy CloudBrink ZTNA agent to all 9 managed laptops via Intune app deployment (Win32 app package). Configure per-user ZTNA policies: device posture check (Intune compliance + BitLocker + Defender active) required per session. Verify agent auto-start, silent authentication via Entra SSO, and per-application micro-segmented access.",3,CHD-TS1,One-Time
AFFG-004-012,CloudBrink Access Policies & Micro-Segmentation,Phase 2: Access Control,"Configure CloudBrink per-application access policies: Schwab Advisor Services (HTTPS only), Interactive Brokers (TWS + IBKR Web), M365 suite, internal file shares. Enable per-session device posture verification. Configure session logging (user, device, app, duration, source IP). Block lateral movement between applications.",3,CHD-TS1,One-Time
AFFG-004-013,Schwab & IBKR Access Migration (Office IP Whitelist to ZTNA),Phase 2: Access Control,"Coordinate with Schwab Advisor Services and Interactive Brokers to transition custodian access from AFFG's existing office-IP whitelist to CloudBrink ZTNA-based access. Submit updated access configurations to each custodian, validate ZTNA-routed connections to both custodians from multiple network locations (office, home, travel), and confirm the legacy office-IP entries can be removed from each custodian's allowlist after cutover.",3,IRV-TS1,One-Time
AFFG-004-014,Intune MDM Enrollment for Company Phones (9 Devices),Phase 3: Mobile Device Control,"Enroll all 9 AFFG company phones in Microsoft Intune MDM. Configure enrollment profiles: require encryption, PIN/biometric, minimum OS version, jailbreak/root detection. Verify each phone shows compliant in Intune portal. Included in M365 E3 — no additional license cost.",3,CHD-TS1,One-Time
AFFG-004-015,Intune App Protection (MAM) Policies for Mobile,Phase 3: Mobile Device Control,"Create and deploy Intune App Protection Policies for Outlook, OneDrive, Teams, and Edge on company phones. Block: copy/paste to personal apps, save-as to personal storage, screenshots of corporate content. Require: PIN/biometric for corporate apps. Auto-wipe: on jailbreak detection or 30 days offline. Test containerization on pilot device.",3,CHD-TS1,One-Time
AFFG-004-016,Mobile Remote Wipe & Termination Procedures,Phase 3: Mobile Device Control,"Configure selective wipe (corporate data only) and full wipe (factory reset) capabilities for all 9 company phones. Document the termination procedure: HR notifies Technijian, Technijian executes selective or full wipe within 1 hour, wipe confirmation logged. Test wipe on pilot device. Configure auto-wipe triggers for jailbreak and extended offline.",2,CHD-TS1,One-Time
AFFG-004-017,User Data Migration to Managed Laptops,Phase 4: User Cutover,"Migrate user data, application settings, browser bookmarks, and Outlook profiles from each of the 9 users' existing work devices to their corresponding new managed laptop. Coordinate with each user to schedule the cutover, capture required data, and validate post-migration. Verify Outlook mail/calendar, OneDrive sync, Teams sign-in, browser bookmarks, and line-of-business application access on the managed laptop.",6,CHD-TS1,One-Time
AFFG-004-018,User Training — Managed Device Workflow,Phase 4: User Cutover,"Conduct training sessions for all 9 AFFG users on the managed device workflow: laptop sign-in with Entra ID + MFA, CloudBrink ZTNA auto-connect, Schwab/IBKR access via CloudBrink, MyAudit DLP restrictions (no USB/download/print), phone MDM enrollment and app containerization, what to do if device is lost/stolen. Produce a quick-reference guide for the managed-device workflow.",4,CHD-TS1,One-Time
AFFG-004-019,Pilot Operation Window (2–3 Users on Managed Laptops),Phase 4: User Cutover,"Run a 2-week pilot operation window with 2–3 designated AFFG users operating on the new managed laptops while the remaining users continue on their existing devices. Pilot users exercise all workflows (M365, Schwab, IBKR, internal shares) across multiple network locations. Monitor CloudBrink connectivity, DLP events, Conditional Access blocks, and user friction. Resolve issues before full fleet cutover.",4,IRV-TS1,One-Time
AFFG-004-020,Legacy Office-IP Whitelist Decommission,Phase 4: User Cutover,"After all 9 users have cut over to managed laptops and ZTNA-based custodian access is validated: coordinate with Schwab Advisor Services and Interactive Brokers to remove AFFG's office-IP entries from each custodian's allowlist. Verify that custodian access now requires a posture-verified managed device via CloudBrink. Document the final-state access architecture for the compliance binder.",3,IRV-TS1,One-Time
AFFG-004-021,Monitoring Expansion — Device Fleet & CloudBrink,Phase 5: Monitoring & Validation,"Expand the existing monthly compliance assessment to include: Intune device fleet monitoring (all 9 laptops + 9 phones enrolled, encrypted, patched, checking in), CloudBrink agent status (active, posture checks passing, unauthorized access attempts), Conditional Access sign-in analytics. Update the monthly compliance dashboard PDF template to reflect the managed-device architecture.",3,CHD-TS1,One-Time
AFFG-004-022,Monthly Mobile Device Audit Configuration,Phase 5: Monitoring & Validation,"Configure the monthly mobile device audit: enrolled device count vs. headcount, compliance violations, wipe history, jailbreak detection events. Fold into existing Technijian assessment cadence per FINRA 3110(c) and 3120. Produce audit evidence template for regulator presentation.",2,CHD-TS1,One-Time
AFFG-004-023,End-to-End Security Validation,Phase 5: Monitoring & Validation,"End-to-end validation of the managed device control stack: attempt M365 access from personal device (should block), attempt USB data exfiltration (MyAudit should block), attempt legacy auth (should block), attempt CloudBrink bypass (should fail), attempt access with non-compliant device (should block). Document results for compliance binder.",4,IRV-TS1,One-Time
AFFG-004-024,Post-Deployment Compliance Gap Assessment,Phase 5: Monitoring & Validation,"Conduct a gap assessment verifying that every citation in the Control-to-Citation Map (Reg S-P, FINRA 3110, FINRA 4370, SEC 17a-4, NIST 800-53) is met by the deployed managed-device architecture. Compare deployed controls against the SOW Section 3 commitments. Document any residual gaps and remediation ownership. Store evidence in the compliance binder.",4,IRV-TS1,One-Time
AFFG-004-025,Compliance Documentation Suite,Phase 6: Documentation Update,"Produce the compliance documentation suite aligned with the managed-device architecture: Incident Response Plan (IRP) referencing managed endpoints + CloudBrink, Business Continuity / Disaster Recovery disclosure, Service Provider Oversight (including CloudBrink as an assessed vendor), supervisory audit-trail architecture (endpoint + CloudBrink + Intune model). Cover Reg S-P 2024, FINRA 3110/4370, SEC 17a-4, NIST SP 800-53 Rev 5.",6,CHD-TS1,One-Time
AFFG-004-026,Schedule A Amendment — Consolidate to 9 Managed Laptops + Add Managed Control Services,Phase 6: Documentation Update,"Draft Schedule A amendment to MSA-AFFG-2026: (a) consolidate the existing desktop security stack (AVD, AVMH, SI, PMW, MR) from 16 units to 9 units aligned to the 9 managed laptops (-$185.50/mo), (b) add the managed-device control services — MyAudit UAM+DLP (AMDLP1Y) × 9, SSO/2FA (SSO-2FA) × 9, Credential Manager (CRM) × 9 (+$1,125.90/mo). Net monthly change: +$940.40/mo (from signed $2,794.50/mo to $3,734.90/mo). Intune for laptops and phones is included in M365 E3 — no additional Technijian charge. CloudBrink subscription is AFFG-procured.",3,IRV-TS1,One-Time
