Ticket,Title,Phase,Description,Est Hours,Assigned To,Frequency
AFFG-004-011,Schwab & IBKR IP Whitelist Update – Office WAN IP + CloudBrink Egress IP,Phase 2: Access Control,"Coordinate with Schwab Advisor Services and Interactive Brokers to add the AFFG office WAN IP and the CloudBrink egress IP to each custodian's portal allowlist as the only permitted access origins. Validate access from both office and CloudBrink-tunneled endpoints. Confirm legacy entries are removed once new allowlist is active.",3,IRV-TS1,One-Time
AFFG-004-012,Cisco Umbrella Removal from Legacy Desktops,Phase 2: Access Control,"Remove the Cisco Umbrella DNS filtering agent from all 16 legacy desktops as part of the desktop offboarding workstream. CloudBrink ZTNA on the new managed Apple endpoints replaces Umbrella for DNS filtering and zero-trust egress.",3,CHD-TS1,One-Time
AFFG-004-013,Intune MAM Policy Configuration – BYOD Outlook App (iOS & Android),Phase 3: BYOD Mobile MAM,"Create and deploy Intune App Protection (MAM) policies for the Outlook App on iOS and Android personal devices. No MDM enrollment of personal devices. Block: copy/paste to personal apps, save-as to personal storage, screenshots of corporate content. Require: PIN/biometric for corporate apps. Enable selective corporate-data wipe on separation.",2,CHD-TS1,One-Time
AFFG-004-014,MAM Policy Testing & Employee BYOD Setup Guide,Phase 3: BYOD Mobile MAM,"Test MAM containerization on a pilot personal device (iOS and Android). Produce an employee-facing BYOD setup guide explaining how to install the Outlook App, register with corporate identity, and what behavior to expect (PIN, copy/paste restrictions, selective wipe scope). Distribute to AFFG users.",2,CHD-TS1,One-Time
AFFG-004-015,Agent Removal from 16 Legacy Desktops & Managed Services Offboarding,Phase 4: Legacy Desktop Offboarding,"Remove all Technijian agents (CrowdStrike, Huntress, ManageEngine Patch Mgmt, ScreenConnect, MyAudit if present) from each of the 16 legacy desktops. Decommission devices from the Technijian Intune tenant and managed services console. Document removal and confirm zero billable presence on Schedule A from the offboarding date.",4,CHD-TS1,One-Time
AFFG-004-016,User Data Transfer Assistance – Legacy Desktop to Apple Endpoint,Phase 4: Legacy Desktop Offboarding,"Assist users transitioning from a retiring desktop to a new managed Apple endpoint with profile migration: Outlook signature, browser bookmarks, OneDrive sync, Teams sign-in, line-of-business app reauth. Coordinate cutover scheduling with each affected user.",2,CHD-TS1,One-Time
AFFG-004-017,Schedule A Amendment – Fleet Right-Sizing & Compliance Stack Update,Phase 4: Legacy Desktop Offboarding,"Draft and deliver a Schedule A amendment reflecting (a) consolidation from 16 desktops to 10 Apple endpoints (-$424.00/mo on legacy stack), (b) addition of the new Apple endpoint stack with CloudBrink ZTNA Technijian-billed (+$355.00/mo), and (c) addition of MyAudit UAM+DLP on all 10 endpoints (+$1,081.00/mo). Net monthly change: +$1,012.00/mo (from $2,794.50/mo to $3,806.50/mo).",2,IRV-TS1,One-Time
AFFG-004-018,End-to-End Security & Compliance Validation – All 10 Endpoints,Phase 5: Validation & Training,"End-to-end validation of the deployed control stack: attempt M365 access from non-Intune device (should block), attempt USB exfiltration (MyAudit should block), attempt legacy auth (should block), attempt CloudBrink bypass (should fail), attempt access with non-compliant device (should block). Document results for the compliance binder.",4,IRV-TS1,One-Time
AFFG-004-019,MyAudit DLP & CloudBrink Policy Verification (macOS),Phase 5: Validation & Training,"Verify each MyAudit DLP control on macOS: USB block, clipboard control, screen-capture block, print monitoring/block, file transfer DLP (browser uploads, Schwab/IBKR portals, Slack/Teams), application allow/block by bundle ID, file audit trail. Verify CloudBrink per-session posture check, per-app micro-segmentation enforcement, and session log capture.",3,CHD-TS1,One-Time
AFFG-004-020,User Training – Managed Endpoints & CloudBrink Remote Access,Phase 5: Validation & Training,"Conduct training for all AFFG users on the managed-device workflow: Apple endpoint sign-in with Entra ID + MFA, CloudBrink ZTNA auto-connect, custodian access via CloudBrink, MyAudit DLP restrictions (no USB/download/print), BYOD Outlook App containerization, lost/stolen device procedure. Distribute a quick-reference guide.",3,CHD-TS1,One-Time
AFFG-004-021,Compliance Gap Assessment & Control Coverage Report (SEC/FINRA),Phase 5: Validation & Training,"Conduct a post-deployment gap assessment confirming every citation in the Section 3 Control-to-Citation Map (Reg S-P 2024, FINRA 3110, FINRA 4370, SEC 17a-4, NIST 800-53 Rev 5) is met by the deployed managed-device architecture. Document any residual gaps and remediation ownership. Store evidence in the AFFG compliance binder.",2,IRV-TS1,One-Time
AFFG-004-022,Update Compliance Documentation Suite – Managed Device Architecture,Phase 6: Documentation,"Produce the AFFG compliance documentation suite aligned with the managed Apple endpoint architecture: endpoint security policy, ZTNA access control runbook, Incident Response Plan referencing managed endpoints + CloudBrink, data handling policy, Service Provider Oversight including CloudBrink as an assessed vendor, and supervisory audit-trail architecture (endpoint + CloudBrink + Intune model). All documents in Technijian standard format.",6,CHD-TS1,One-Time
AFFG-004-023,Final Deliverable Package & Client Acceptance Sign-Off,Phase 6: Documentation,"Assemble the final deliverable package: as-built configuration export from Intune, CloudBrink, MyAudit; Section 3 Control-to-Citation evidence matrix; Phase 5 validation results; Phase 6 documentation suite; Schedule A amendment. Walk Iris Liu through the deliverable for client acceptance sign-off.",2,IRV-TS1,One-Time
