Ticket,Title,Phase,Description,Est Hours,Assigned To,Frequency
AFFG-004-013,Schwab & IBKR Access Migration (Office IP Whitelist to ZTNA),Phase 2: Access Control,"Coordinate with Schwab Advisor Services and Interactive Brokers to transition custodian access from AFFG's existing office-IP whitelist to CloudBrink ZTNA-based access. Submit updated access configurations to each custodian, validate ZTNA-routed connections from multiple network locations (office, home, travel) on the new Macs, and confirm the legacy office-IP entries can be removed from each custodian's allowlist after cutover.",3,IRV-TS1,One-Time
AFFG-004-014,Intune MDM Enrollment for Company Phones (9 Devices),Phase 3: Mobile Device Control,"Enroll all 9 AFFG company phones in Microsoft Intune MDM. Configure enrollment profiles: require encryption, PIN/biometric, minimum OS version, jailbreak/root detection. Verify each phone shows compliant in Intune portal. Included in M365 E3 — no additional license cost.",3,CHD-TS1,One-Time
AFFG-004-015,Intune App Protection (MAM) Policies for Mobile,Phase 3: Mobile Device Control,"Create and deploy Intune App Protection Policies for Outlook, OneDrive, Teams, and Edge on company phones. Block: copy/paste to personal apps, save-as to personal storage, screenshots of corporate content. Require: PIN/biometric for corporate apps. Auto-wipe: on jailbreak detection or 30 days offline. Test containerization on pilot device.",3,CHD-TS1,One-Time
AFFG-004-016,Mobile Remote Wipe & Termination Procedures,Phase 3: Mobile Device Control,"Configure selective wipe (corporate data only) and full wipe (factory reset) capabilities for all 9 company phones. Document the termination procedure: HR notifies Technijian, Technijian executes selective or full wipe within 1 hour, wipe confirmation logged. Test wipe on pilot device. Configure auto-wipe triggers for jailbreak and extended offline.",2,CHD-TS1,One-Time
AFFG-004-017,User Data Migration & Legacy Device Offboarding,Phase 4: User Cutover & Legacy Offboarding,"Migrate user data, application settings, browser bookmarks, and Outlook profiles from each user's existing work device to the new managed Mac (Mac Mini or Apple Neo notebook). After migration validation: securely offboard the 4 legacy devices in scope — MACBOOK-PRO-4 (MacBook Pro), KIKI (Surface Pro 8), LEON (Lenovo V15 G2 IJL), and MAGGIE (Surface Pro 8). Offboarding: remove from Intune, remove from Entra, full-disk wipe per NIST SP 800-88 Clear/Purge, document chain-of-custody. Verify Outlook mail/calendar, OneDrive sync, Teams sign-in, browser bookmarks, and line-of-business application access on each new Mac.",8,CHD-TS1,One-Time
AFFG-004-018,User Training — macOS Managed Device Workflow,Phase 4: User Cutover & Legacy Offboarding,"Conduct training sessions for all 9 AFFG users on the macOS managed-device workflow: Mac sign-in with Entra ID + MFA via Platform SSO, CloudBrink ZTNA auto-connect, Schwab/IBKR access via CloudBrink, MyAudit DLP restrictions (no USB/download/print), phone MDM enrollment and app containerization, what to do if device is lost/stolen. Produce a quick-reference guide for the macOS managed-device workflow.",4,CHD-TS1,One-Time
AFFG-004-019,Pilot Operation Window (2–3 Users on Managed Macs),Phase 4: User Cutover & Legacy Offboarding,"Run a 2-week pilot operation window with 2–3 designated AFFG users operating on the new managed Macs while the remaining users continue on their existing devices. Pilot users exercise all workflows (M365, Schwab, IBKR, internal shares) across multiple network locations. Monitor CloudBrink connectivity, DLP events, Conditional Access blocks, and user friction. Resolve issues before full fleet cutover.",4,IRV-TS1,One-Time
AFFG-004-020,Legacy Office-IP Whitelist Decommission,Phase 4: User Cutover & Legacy Offboarding,"After all 9 users have cut over to managed Macs and ZTNA-based custodian access is validated: coordinate with Schwab Advisor Services and Interactive Brokers to remove AFFG's office-IP entries from each custodian's allowlist. Verify that custodian access now requires a posture-verified managed Mac via CloudBrink. Document the final-state access architecture for the compliance binder.",3,IRV-TS1,One-Time
AFFG-004-021,Monitoring Expansion — Device Fleet & CloudBrink,Phase 5: Monitoring & Validation,"Expand the existing monthly compliance assessment to include: Intune device fleet monitoring (all 9 Apple endpoints + 9 phones enrolled, encrypted, patched, checking in), CloudBrink agent status (active, posture checks passing, unauthorized access attempts), Conditional Access sign-in analytics. Update the monthly compliance dashboard PDF template to reflect the all-Apple managed-device architecture.",3,CHD-TS1,One-Time
AFFG-004-022,Monthly Mobile Device Audit Configuration,Phase 5: Monitoring & Validation,"Configure the monthly mobile device audit: enrolled device count vs. headcount, compliance violations, wipe history, jailbreak detection events. Fold into existing Technijian assessment cadence per FINRA 3110(c) and 3120. Produce audit evidence template for regulator presentation.",2,CHD-TS1,One-Time
AFFG-004-023,End-to-End Security Validation,Phase 5: Monitoring & Validation,"End-to-end validation of the managed-Mac control stack: attempt M365 access from personal device (should block), attempt USB data exfiltration on Mac (MyAudit should block), attempt legacy auth (should block), attempt CloudBrink bypass (should fail), attempt access with non-compliant Mac (should block). Document results for compliance binder.",4,IRV-TS1,One-Time
AFFG-004-024,Post-Deployment Compliance Gap Assessment,Phase 5: Monitoring & Validation,"Conduct a gap assessment verifying that every citation in the Control-to-Citation Map (Reg S-P, FINRA 3110, FINRA 4370, SEC 17a-4, NIST 800-53) is met by the deployed macOS managed-device architecture. Compare deployed controls against the SOW Section 3 commitments. Document any macOS-specific residual gaps (particularly MyAudit DLP coverage differences vs. Windows baseline) and remediation ownership. Store evidence in the compliance binder.",4,IRV-TS1,One-Time
AFFG-004-025,Compliance Documentation Suite,Phase 6: Documentation Update,"Produce the compliance documentation suite aligned with the macOS managed-device architecture: Incident Response Plan (IRP) referencing managed Apple endpoints + CloudBrink, Business Continuity / Disaster Recovery disclosure, Service Provider Oversight (including CloudBrink as an assessed vendor), supervisory audit-trail architecture (Mac endpoint + CloudBrink + Intune model). Cover Reg S-P 2024, FINRA 3110/4370, SEC 17a-4, NIST SP 800-53 Rev 5.",6,CHD-TS1,One-Time
AFFG-004-026,Schedule A Amendment — Consolidate to 9 macOS Endpoints + Add Managed Control Services,Phase 6: Documentation Update,"Draft Schedule A amendment to MSA-AFFG-2026: (a) replace the Windows endpoint security pricing (PMW $4) with the macOS endpoint security pricing (PMMAC $11) and consolidate the stack from 16 Windows-priced desktops to 9 macOS-priced endpoints aligned to the 3 Mac Minis + 6 Apple Neo notebooks (-$122.50/mo net), (b) add the managed-device control services — MyAudit UAM+DLP (AMDLP1Y) × 9, SSO/2FA (SSO-2FA) × 9, Credential Manager (CRM) × 9 (+$1,125.90/mo). Net monthly change: +$1,003.40/mo (from signed $2,794.50/mo to $3,797.90/mo). Intune for Macs and phones included in M365 E3. CloudBrink subscription AFFG-procured.",3,IRV-TS1,One-Time
