Ticket,Title,Phase,Description,Est Hours,Assigned To,Frequency
AFFG-004-011,CloudBrink Agent Deployment to 9 Managed Laptops,Phase 2: Access Control,"Deploy CloudBrink ZTNA agent to all 9 managed laptops via Intune app deployment (Win32 app package). Configure per-user ZTNA policies: device posture check (Intune compliance + BitLocker + Defender active) required per session. Verify agent auto-start, silent authentication via Entra SSO, and per-application micro-segmented access.",3,CHD-TS1,One-Time
AFFG-004-012,CloudBrink Access Policies & Micro-Segmentation,Phase 2: Access Control,"Configure CloudBrink per-application access policies: Schwab Advisor Services (HTTPS only), Interactive Brokers (TWS + IBKR Web), M365 suite, internal file shares. Enable per-session device posture verification. Configure session logging (user, device, app, duration, source IP). Block lateral movement between applications.",3,CHD-TS1,One-Time
AFFG-004-013,Schwab & IBKR Access Migration (IP Whitelist to ZTNA),Phase 2: Access Control,"Coordinate with Schwab Advisor Services and Interactive Brokers to transition from VDI egress IP whitelist to CloudBrink ZTNA-based access. Submit updated access configurations, validate ZTNA-routed connections to both custodians, and confirm legacy VDI egress IP can be decommissioned after cutover.",3,IRV-TS1,One-Time
AFFG-004-014,Intune MDM Enrollment for Company Phones (9 Devices),Phase 3: Mobile Device Control,"Enroll all 9 AFFG company phones in Microsoft Intune MDM. Configure enrollment profiles: require encryption, PIN/biometric, minimum OS version, jailbreak/root detection. Verify each phone shows compliant in Intune portal. Included in M365 E3 — no additional license cost.",3,CHD-TS1,One-Time
AFFG-004-015,Intune App Protection (MAM) Policies for Mobile,Phase 3: Mobile Device Control,"Create and deploy Intune App Protection Policies for Outlook, OneDrive, Teams, and Edge on company phones. Block: copy/paste to personal apps, save-as to personal storage, screenshots of corporate content. Require: PIN/biometric for corporate apps. Auto-wipe: on jailbreak detection or 30 days offline. Test containerization on pilot device.",3,CHD-TS1,One-Time
AFFG-004-016,Mobile Remote Wipe & Termination Procedures,Phase 3: Mobile Device Control,"Configure selective wipe (corporate data only) and full wipe (factory reset) capabilities for all 9 company phones. Document the termination procedure: HR notifies Technijian, Technijian executes selective or full wipe within 1 hour, wipe confirmation logged. Test wipe on pilot device. Configure auto-wipe triggers for jailbreak and extended offline.",2,CHD-TS1,One-Time
AFFG-004-017,VDI-to-Managed-Device Data Migration,Phase 4: Migration & Cutover,"Migrate user data, application settings, browser bookmarks, and Outlook profiles from the 7 VDI desktops to the corresponding managed laptops. Coordinate with each of the 7 VDI agents for validation. Ensure FSLogix profile data (Outlook caches, Teams caches, OneDrive state) is transferred. Verify data integrity post-migration.",6,CHD-TS1,One-Time
AFFG-004-018,User Training — Managed Device Workflow,Phase 4: Migration & Cutover,"Conduct training sessions for all 9 AFFG users on the managed device workflow: laptop sign-in with Entra ID + MFA, CloudBrink ZTNA auto-connect, Schwab/IBKR access via CloudBrink, MyAudit DLP restrictions (no USB/download/print), phone MDM enrollment and app containerization, what to do if device is lost/stolen. Produce updated quick-reference guide.",4,CHD-TS1,One-Time
AFFG-004-019,Parallel Operation Window (VDI + Managed Devices),Phase 4: Migration & Cutover,"Run a 2-week parallel operation window where both VDI and managed laptops are active. Agents test all workflows on managed laptops while VDI remains available as fallback. Monitor CloudBrink connectivity, DLP events, Conditional Access blocks, and user friction. Resolve issues before VDI decommission.",4,IRV-TS1,One-Time
AFFG-004-020,VDI Decommission & Cleanup,Phase 4: Migration & Cutover,"After parallel operation sign-off from AFFG registered principal: decommission the 7 Horizon VDI personal desktops, remove VDI egress IP from Schwab/IBKR allowlists (replaced by CloudBrink), delete FSLogix profile containers from Production Storage, archive VDI session logs to Backup Storage (retain per SEC 17a-4). Remove VDI line items from Schedule A billing.",3,IRV-TS1,One-Time
AFFG-004-021,Monitoring Expansion — Device Fleet & CloudBrink,Phase 5: Monitoring & Validation,"Expand the existing monthly compliance assessment (SOW-003 Phase 5) to include: Intune device fleet monitoring (all 9 laptops + 9 phones enrolled, encrypted, patched, checking in), CloudBrink agent status (active, posture checks passing, unauthorized access attempts), Conditional Access sign-in analytics. Update compliance dashboard PDF template.",3,CHD-TS1,One-Time
AFFG-004-022,Monthly Mobile Device Audit Configuration,Phase 5: Monitoring & Validation,"Configure the monthly mobile device audit: enrolled device count vs. headcount, compliance violations, wipe history, jailbreak detection events. Fold into existing Technijian assessment cadence per FINRA 3110(c) and 3120. Produce audit evidence template for regulator presentation.",2,CHD-TS1,One-Time
AFFG-004-023,End-to-End Security Validation,Phase 5: Monitoring & Validation,"End-to-end validation of the managed device control stack: attempt M365 access from personal device (should block), attempt USB data exfiltration (MyAudit should block), attempt legacy auth (should block), attempt CloudBrink bypass (should fail), attempt access with non-compliant device (should block). Document results for compliance binder.",4,IRV-TS1,One-Time
AFFG-004-024,Post-Migration Compliance Gap Assessment,Phase 5: Monitoring & Validation,"Conduct gap assessment comparing managed-device control posture against SOW-003's VDI control posture. Verify every citation in the Control-to-Citation Map (Reg S-P, FINRA 3110, FINRA 4370, SEC 17a-4, NIST 800-53) is met by the new architecture. Document any residual gaps and remediation ownership. Update compliance binder.",4,IRV-TS1,One-Time
AFFG-004-025,Update Compliance Documentation Suite,Phase 6: Documentation Update,"Update all Phase 7 (SOW-003) compliance documents to reflect managed-device architecture: IRP (replace VDI references with managed endpoint + CloudBrink), BCP disclosure (update technology stack), Service Provider Oversight (add CloudBrink as assessed vendor), supervisory audit trail architecture (replace VDI session model with endpoint + CloudBrink + Intune model).",6,CHD-TS1,One-Time
AFFG-004-026,Schedule A Amendment — Remove VDI / Add Managed Device Services,Phase 6: Documentation Update,"Draft Schedule A amendment to MSA-AFFG-2026 reflecting the transition: remove Horizon VDI line items (7 VMs, VDI security stack, VDI Production Storage), add managed laptop services (MyAudit UAM+DLP, SSO/2FA, Credential Manager on 9 endpoints). Net monthly reduction from $5,770.45 to $4,063.15 (-$1,707.30/mo).",3,IRV-TS1,One-Time
