Ticket,Title,Phase,Description,Est Hours,Assigned To,Frequency
AFFG-003-012,Block Legacy Authentication in Entra ID,Phase 2: Access Lockdown,"Disable legacy authentication protocols (IMAP, POP3, Exchange ActiveSync, SMTP AUTH, legacy SharePoint auth) in Entra ID. Audit AFFG's M365 sign-in logs for any legacy-auth usage before blocking and remediate any dependent apps. Document the block and exception process.",2,CHD-TS1,One-Time
AFFG-003-013,Endpoint Protection Deployment on VDI (CrowdStrike + Huntress),Phase 2: Access Lockdown,"Deploy CrowdStrike Falcon EDR and Huntress Managed Detection agents inside each of the 11 VDI desktops. Configure detection policies, response actions, and forwarding to Technijian SOC. Verify agent check-in, test with an EICAR file, and confirm Huntress 24/7 monitoring coverage is active for AFFG.",5,CHD-TS1,One-Time
AFFG-003-014,M365 DLP Policies for PII / SSN / Account Numbers,Phase 3: Data Protection,"Configure Microsoft 365 Data Loss Prevention policies to detect and block exfiltration of Social Security Numbers, Schwab/IBKR account numbers, bank routing numbers, and other financial Sensitive Information Types across Exchange Online, SharePoint, OneDrive, and Teams. Define block, warn, and audit actions by destination. Exclude approved business exceptions.",6,IRV-TS1,One-Time
AFFG-003-015,OneDrive External Sharing Restrictions,Phase 3: Data Protection,"Lock down OneDrive and SharePoint external sharing. Configure allow-list for authorized external partners (e.g., Schwab, custodians), block anonymous sharing, enforce link expiration, and require sign-in for all external access. Document the AFFG-approved sharing exception process.",2,CHD-TS1,One-Time
AFFG-003-016,Email DLP Rules Configuration,Phase 3: Data Protection,"Build Exchange Online mail-flow rules to prevent client PII from being sent to personal email addresses or external non-whitelisted domains. Configure header-based routing, TLS enforcement for known custodian domains, and encryption on outbound mail containing financial SITs. Produce the DLP policy map for regulator-ready documentation.",4,IRV-TS1,One-Time
AFFG-003-017,Sensitive Information Types (SITs) Setup,Phase 3: Data Protection,"Define the custom M365 Sensitive Information Types matching AFFG's specific data patterns: Schwab account number format, IBKR account format, internal AFFG account IDs, and any custodian-specific tokens. Validate detection accuracy using sample non-production data.",4,IRV-TS1,One-Time
AFFG-003-018,DLP Testing & Validation,Phase 3: Data Protection,"End-to-end test of the DLP deployment. Attempt exfiltration via email, OneDrive external share, Teams chat, and USB (VDI block). Confirm all scenarios are blocked or quarantined with alerts routed to Technijian SOC. Produce the DLP validation report for AFFG registered principal sign-off.",4,CHD-TS1,One-Time
AFFG-003-019,Veeam 365 Backup Deployment,Phase 4: V365 Backup,"Deploy and configure Veeam 365 Backup against AFFG's Microsoft 365 tenant. Back up Exchange Online mailboxes, SharePoint sites, OneDrive accounts, and Teams data for all 31 users. Configure backup schedules (daily incremental, weekly full) and initial seed backup.",3,CHD-TS1,One-Time
AFFG-003-020,Configure 7-Year Retention + Immutability,Phase 4: V365 Backup,"Configure Veeam 365 retention to 7 years with immutability (WORM) on the Backup Storage tier. Verify that deletion operations against immutable backups are rejected during the retention window. Document the retention policy for SEC 17a-4 regulator inquiries.",2,CHD-TS1,One-Time
AFFG-003-021,eDiscovery Workspace Setup,Phase 4: V365 Backup,"Configure the M365 Compliance Center eDiscovery (Standard) workspace with AFFG's registered principal as the primary eDiscovery manager. Validate that cases can be opened, custodians placed on hold, and data exported. Produce the eDiscovery runbook for AFFG compliance staff.",2,CHD-TS1,One-Time
AFFG-003-022,Coordinate with AFFG's Existing Email Archive,Phase 4: V365 Backup,"Coordinate with AFFG's existing email archiving vendor/platform to confirm continuity of 7-year SEC 17a-4 compliant mail archival. Document which system is authoritative for long-term retention, how journaling is configured, and handoff procedures if AFFG ever elects to switch providers in the future.",3,IRV-TS1,One-Time
AFFG-003-023,My Audit UAM+DLP Agent Deployment,Phase 5: Monitoring & Audit,"Confirm the UAM+DLP agent deployed in Phase 1 is operating on all 11 VDI desktops with full policy application. Fine-tune detection sensitivity for AFFG's workflow (reduce false positives from legitimate Schwab/IBKR activity). Validate 1-year data retention path and immutability.",4,CHD-TS1,One-Time
AFFG-003-024,Configure VDI Session Logging,Phase 5: Monitoring & Audit,"Enable detailed session logging on the Technijian VDI host pool: sign-in, sign-out, reconnect events, session duration, source IP, and MFA method. Forward logs to Technijian's central log store. Retain per SEC 17a-4 requirements.",3,CHD-TS1,One-Time
AFFG-003-025,Insider Threat & Anomaly Alerting,Phase 5: Monitoring & Audit,"Build detection rules for anomalous user behavior: off-hours sign-ins, impossible travel, unusual data access volumes, mass deletion attempts, and after-hours DLP violations. Configure alert routing to Technijian SOC with AFFG principal as secondary notification.",4,IRV-TS1,One-Time
AFFG-003-026,Build Compliance Dashboard,Phase 5: Monitoring & Audit,"Build the monthly compliance dashboard aggregating: MFA enforcement rate, DLP events by severity, VDI uptime and session counts, My Audit coverage, backup success rate, pen-test findings status, and phishing simulation completion. Deliver as a recurring PDF report for AFFG's registered principal.",5,CHD-TS1,One-Time
AFFG-003-027,Supervisory Audit Trail (FINRA 3110) Configuration,Phase 5: Monitoring & Audit,"Configure the supervisory audit trail to meet FINRA Rule 3110 requirements: per-agent activity logs, timestamped with named accounts (no shared credentials), immutable for retention period. Ensure each agent's activity is individually attributable via the dedicated-VM model. Deliver the supervisory trail architecture document.",4,IRV-TS1,One-Time
AFFG-003-028,Penetration Test of VDI Environment,Phase 6: Validation & Testing,"Perform a penetration test of the VDI environment covering: external attack surface, VDI egress/ingress controls, clipboard/drive/USB bypass attempts, cross-VM isolation, session takeover attempts, and privilege escalation within a Win11 VDI. Produce formal pen test report with findings and remediation plan.",5,IRV-TS1,One-Time
AFFG-003-029,Huntress SAT Deployment (Security Awareness Training),Phase 6: Validation & Testing,"Deploy Huntress SAT to AFFG's 31 M365 users. Configure training assignments, simulated phishing campaigns (monthly cadence), and enrollment tracking. Customize training modules to include FINRA/SEC-specific scenarios: customer PII exposure, impersonation of registered principals, Schwab/IBKR credential phishing.",3,CHD-TS1,One-Time
AFFG-003-030,Phishing Simulation Setup & Baseline,Phase 6: Validation & Testing,"Launch the first simulated phishing campaign to establish AFFG's baseline click/report rates. Configure monthly follow-up simulations with escalating difficulty. Define completion thresholds and remediation training assignments for users who fail.",3,CHD-TS1,One-Time
AFFG-003-031,Post-Implementation Compliance Gap Assessment,Phase 6: Validation & Testing,"Conduct post-implementation gap assessment against the AFFG IT Compliance Strategy requirements: SEC Reg S-P (10 requirements), FINRA Rule 4370 (2 controls), FINRA Rule 3110 (3 supervisory provisions), SEC Rule 17a-4 (3 recordkeeping requirements). Document any residual gaps and remediation ownership.",4,IRV-TS1,One-Time
AFFG-003-032,Written Incident Response Plan (IRP),Phase 7: Policy & Compliance Docs,"Draft the AFFG-specific Written Incident Response Plan covering detection, containment, eradication, recovery, and post-incident review. Include roles and responsibilities for AFFG's registered principal, Technijian SOC, and external counsel. Include tabletop exercise template and annual review cadence.",5,IRV-TS1,One-Time
AFFG-003-033,Breach Notification Procedures & Templates,Phase 7: Policy & Compliance Docs,"Build breach notification procedures meeting SEC Reg S-P 30-day customer notification requirement, state AG notifications (including California Civil Code 1798.82), FINRA notification triggers, and custodian notifications (Schwab, IBKR). Include pre-drafted notification templates for each recipient class.",4,IRV-TS1,One-Time
AFFG-003-034,Service Provider Oversight Policy (72-hour clause),Phase 7: Policy & Compliance Docs,"Draft the Service Provider Oversight Policy covering the SEC Reg S-P 72-hour vendor incident notification requirement, vendor due diligence procedures, vendor security attestations (SOC 2, ISO 27001), contract clause library, and annual vendor review cadence.",4,IRV-TS1,One-Time
AFFG-003-035,BCP Customer Disclosure + Info Disposal,Phase 7: Policy & Compliance Docs,"Draft the Business Continuity Plan customer disclosure document (FINRA Rule 4370) and the Customer Information Disposal Policy (secure destruction of physical and digital PII). Align both with AFFG's Sophos firewall BCP from SOW-AFFG-001. Include the 72-hour vendor incident notification chain and cross-reference with the Service Provider Oversight Policy.",4,IRV-TS1,One-Time
AFFG-003-036,Annual Sign-off & Policy Documentation Process,Phase 7: Policy & Compliance Docs,"Build the annual compliance sign-off process: principal attestation, Technijian audit evidence package, gap assessment refresh, and training completion roll-up. Deliver the compliance binder structure AFFG can present during a FINRA/SEC exam.",5,CHD-TS1,One-Time
AFFG-003-037,Final Compliance Document Packaging & Delivery,Phase 7: Policy & Compliance Docs,"Final packaging of all compliance deliverables into AFFG's regulator-ready binder: IRP, breach notification procedures, vendor oversight policy, BCP disclosure, info disposal policy, annual sign-off template, compliance dashboard sample, pen test report, gap assessment, and supervisory audit trail architecture. Deliver as encrypted PDF bundle.",3,CHD-TS1,One-Time
