file,category,status
2024-06-03_1647_Monthly Time Entries for 10152.xlsx,monthly,uploaded
2024-06-03_1647_VTD _ Monthly Invoice 10152 for your review.eml,monthly,uploaded
2024-06-10_2105_10211.pdf,monthly,uploaded
2024-06-10_2105_VTD _ Invoice 10211 for your review.eml,monthly,uploaded
2024-07-03_1933_10410.pdf,monthly,uploaded
2024-07-03_1933_Monthly Time Entries for 10410.xlsx,monthly,uploaded
2024-07-03_1933_VTD _ Monthly Invoice 10410 for your review.eml,monthly,uploaded
2024-07-03_1935_10430.pdf,monthly,uploaded
2024-07-03_1935_VTD _ Invoice 10430 for your review.eml,monthly,uploaded
2024-07-15_1650_10541.pdf,monthly,uploaded
2024-07-15_1650_VTD _ Invoice 10541 for your review.eml,monthly,uploaded
2024-08-02_1801_10654.pdf,monthly,uploaded
2024-08-02_1801_Monthly Time Entries for 10654.xlsx,monthly,uploaded
2024-08-02_1801_VTD _ Monthly Invoice 10654 for your review.eml,monthly,uploaded
2024-08-02_1805_10687.pdf,monthly,uploaded
2024-08-02_1805_VTD _ Invoice 10687 for your review.eml,monthly,uploaded
2024-09-04_1751_10935.pdf,monthly,uploaded
2024-09-04_1751_VTD _ Invoice 10935 for your review.eml,monthly,uploaded
2024-09-04_1823_10960.pdf,monthly,uploaded
2024-09-04_1823_Monthly Time Entries for 10960.xlsx,monthly,uploaded
2024-09-04_1823_VTD _ Monthly Invoice 10960 for your review.eml,monthly,uploaded
2024-10-03_2037_11155.pdf,monthly,uploaded
2024-10-03_2037_Monthly Time Entries for 11155.xlsx,monthly,uploaded
2024-10-03_2037_VTD _ Monthly Invoice 11155 for your review.eml,monthly,uploaded
2024-10-03_2119_11191.pdf,monthly,uploaded
2024-10-03_2119_VTD _ Invoice 11191 for your review.eml,monthly,uploaded
2024-11-04_2351_11380.pdf,monthly,uploaded
2024-11-04_2351_VTD _ Invoice 11380 for your review.eml,monthly,uploaded
2024-11-05_0001_11400.pdf,monthly,uploaded
2024-11-05_0001_Monthly Time Entries for 11400.xlsx,monthly,uploaded
2024-11-05_0001_VTD _ Monthly Invoice 11400 for your review.eml,monthly,uploaded
2024-12-03_1915_11577.pdf,monthly,uploaded
2024-12-03_1915_Monthly Time Entries for 11577.xlsx,monthly,uploaded
2024-12-03_1915_VTD _ Monthly Invoice 11577 for your review.eml,monthly,uploaded
2024-12-03_1925_11612.pdf,monthly,uploaded
2024-12-03_1925_VTD _ Invoice 11612 for your review.eml,monthly,uploaded
2025-01-02_2036_11802.pdf,monthly,uploaded
2025-01-02_2036_VTD _ Invoice 11802 for your review.eml,monthly,uploaded
2025-01-02_2122_11827.pdf,monthly,uploaded
2025-01-02_2122_Monthly Time Entries for 11827.xlsx,monthly,uploaded
2025-01-02_2122_VTD _ Monthly Invoice 11827 for your review.eml,monthly,uploaded
2025-02-03_1904_12056.pdf,monthly,uploaded
2025-02-03_1904_VTD _ Invoice 12056 for your review.eml,monthly,uploaded
2025-02-03_1957_12080.pdf,monthly,uploaded
2025-02-03_1957_Monthly Time Entries for 12080.xlsx,monthly,uploaded
2025-02-03_1957_VTD _ Monthly Invoice 12080 for your review.eml,monthly,uploaded
2025-03-03_2230_11725084.pdf,monthly,uploaded
2025-03-03_2230_Monthly Time Entries for 11725084.xlsx,monthly,uploaded
2025-03-03_2230_VTD _ Monthly Invoice 11725084 for your review.eml,monthly,uploaded
2025-03-03_2234_11725118.pdf,monthly,uploaded
2025-03-03_2234_VTD _ Invoice 11725118 for your review.eml,monthly,uploaded
2025-04-02_1846_25204.pdf,monthly,uploaded
2025-04-02_1846_VTD _ Invoice 25204 for your review.eml,monthly,uploaded
2025-04-02_1916_25231.pdf,monthly,uploaded
2025-04-02_1916_Monthly Time Entries for 25231.xlsx,monthly,uploaded
2025-04-02_1916_VTD _ Monthly Invoice 25231 for your review.eml,monthly,uploaded
2025-05-02_2033_25438.pdf,monthly,uploaded
2025-05-02_2033_Monthly Time Entries for 25438.xlsx,monthly,uploaded
2025-05-02_2033_VTD _ Monthly Invoice 25438 for your review.eml,monthly,uploaded
2025-05-02_2051_25488.pdf,monthly,uploaded
2025-05-02_2051_VTD _ Invoice 25488 for your review.eml,monthly,uploaded
2025-06-02_1850_25700.pdf,monthly,uploaded
2025-06-02_1850_VTD _ Invoice 25700 for your review.eml,monthly,uploaded
2025-06-02_1941_25725.pdf,monthly,uploaded
2025-06-02_1941_Monthly Time Entries for 25725.xlsx,monthly,uploaded
2025-06-02_1941_VTD _ Monthly Invoice 25725 for your review.eml,monthly,uploaded
2025-06-27_1955_25869.pdf,monthly,uploaded
2025-06-27_1955_VTD _ Invoice 25869 for your review.eml,monthly,uploaded
2025-07-02_1835_25927.pdf,monthly,uploaded
2025-07-02_1835_VTD _ Invoice 25927 for your review.eml,monthly,uploaded
2025-07-02_1854_25953.pdf,monthly,uploaded
2025-07-02_1854_Monthly Time Entries for 25953.xlsx,monthly,uploaded
2025-07-02_1854_VTD _ Monthly Invoice 25953 for your review.eml,monthly,uploaded
2025-08-01_1712_26177.pdf,monthly,uploaded
2025-08-01_1712_VTD _ Invoice 26177 for your review.eml,monthly,uploaded
2025-08-01_1828_26205.pdf,monthly,uploaded
2025-08-01_1828_Monthly Time Entries for 26205.xlsx,monthly,uploaded
2025-08-01_1828_VTD _ Monthly Invoice 26205 for your review.eml,monthly,uploaded
2023-05-15_1525_4292.pdf,weekly,uploaded
2023-05-15_1525_VTD _ Weekly Invoice 4292 for your review.eml,weekly,uploaded
2023-05-15_1525_Weekly Time Entries for 4292.xlsx,weekly,uploaded
2023-05-21_1529_4335.pdf,weekly,uploaded
2023-05-21_1529_VTD _ Weekly Invoice 4335 for your review.eml,weekly,uploaded
2023-05-21_1529_Weekly Time Entries for 4335.xlsx,weekly,uploaded
2023-05-27_1712_4376.pdf,weekly,uploaded
2023-05-27_1712_VTD _ Weekly Invoice 4376 for your review.eml,weekly,uploaded
2023-05-27_1712_Weekly Time Entries for 4376.xlsx,weekly,uploaded
2023-06-03_1708_4477.pdf,weekly,uploaded
2023-06-03_1708_VTD _ Weekly Invoice 4477 for your review.eml,weekly,uploaded
2023-06-03_1708_Weekly Time Entries for 4477.xlsx,weekly,uploaded
2023-06-12_1642_4549.pdf,weekly,uploaded
2023-06-12_1642_VTD _ Weekly Invoice 4549 for your review.eml,weekly,uploaded
2023-06-12_1642_Weekly Time Entries for 4549.xlsx,weekly,uploaded
2023-06-19_1744_4596.pdf,weekly,uploaded
2023-06-19_1744_VTD _ Weekly Invoice 4596 for your review.eml,weekly,uploaded
2023-06-19_1744_Weekly Time Entries for 4596.xlsx,weekly,uploaded
2023-06-26_1703_4643.pdf,weekly,uploaded
2023-06-26_1703_VTD _ Weekly Invoice 4643 for your review.eml,weekly,uploaded
2023-06-26_1703_Weekly Time Entries for 4643.xlsx,weekly,uploaded
2023-07-01_1711_4689.pdf,weekly,uploaded
2023-07-01_1711_VTD _ Weekly Invoice 4689 for your review.eml,weekly,uploaded
2023-07-01_1711_Weekly Time Entries for 4689.xlsx,weekly,uploaded
2023-07-08_1710_4788.pdf,weekly,uploaded
2023-07-08_1710_VTD _ Weekly Invoice 4788 for your review.eml,weekly,uploaded
2023-07-08_1710_Weekly Time Entries for 4788.xlsx,weekly,uploaded
2023-07-17_1604_4832.pdf,weekly,uploaded
2023-07-17_1604_VTD _ Weekly Invoice 4832 for your review.eml,weekly,uploaded
2023-07-17_1604_Weekly Time Entries for 4832.xlsx,weekly,uploaded
2023-07-22_1711_4871.pdf,weekly,uploaded
2023-07-22_1711_VTD _ Weekly Invoice 4871 for your review.eml,weekly,uploaded
2023-07-22_1711_Weekly Time Entries for 4871.xlsx,weekly,uploaded
2023-07-31_1725_4911.pdf,weekly,uploaded
2023-07-31_1725_VTD _ Weekly Invoice 4911 for your review.eml,weekly,uploaded
2023-07-31_1725_Weekly Time Entries for 4911.xlsx,weekly,uploaded
2023-08-07_1603_5020.pdf,weekly,uploaded
2023-08-07_1603_VTD _ Weekly Invoice 5020 for your review.eml,weekly,uploaded
2023-08-07_1603_Weekly Time Entries for 5020.xlsx,weekly,uploaded
2023-08-12_1710_5054.pdf,weekly,uploaded
2023-08-12_1710_VTD _ Weekly Invoice 5054 for your review.eml,weekly,uploaded
2023-08-12_1710_Weekly Time Entries for 5054.xlsx,weekly,uploaded
2023-08-19_1711_5104.pdf,weekly,uploaded
2023-08-19_1711_VTD _ Weekly Invoice 5104 for your review.eml,weekly,uploaded
2023-08-19_1711_Weekly Time Entries for 5104.xlsx,weekly,uploaded
2023-08-28_1739_5150.pdf,weekly,uploaded
2023-08-28_1739_VTD _ Weekly Invoice 5150 for your review.eml,weekly,uploaded
2023-08-28_1739_Weekly Time Entries for 5150.xlsx,weekly,uploaded
2023-09-05_1616_5260.pdf,weekly,uploaded
2023-09-05_1616_VTD _ Weekly Invoice 5260 for your review.eml,weekly,uploaded
2023-09-05_1616_Weekly Time Entries for 5260.xlsx,weekly,uploaded
2023-09-11_1707_5301.pdf,weekly,uploaded
2023-09-11_1707_VTD _ Weekly Invoice 5301 for your review.eml,weekly,uploaded
2023-09-11_1707_Weekly Time Entries for 5301.xlsx,weekly,uploaded
2023-09-18_1545_5337.pdf,weekly,uploaded
2023-09-18_1545_VTD _ Weekly Invoice 5337 for your review.eml,weekly,uploaded
2023-09-18_1545_Weekly Time Entries for 5337.xlsx,weekly,uploaded
2023-09-24_1609_5384.pdf,weekly,uploaded
2023-09-24_1609_VTD _ Weekly Invoice 5384 for your review.eml,weekly,uploaded
2023-09-24_1609_Weekly Time Entries for 5384.xlsx,weekly,uploaded
2023-10-02_1534_5424.pdf,weekly,uploaded
2023-10-02_1534_VTD _ Weekly Invoice 5424 for your review.eml,weekly,uploaded
2023-10-02_1534_Weekly Time Entries for 5424.xlsx,weekly,uploaded
2023-10-09_1537_5522.pdf,weekly,uploaded
2023-10-09_1537_VTD _ Weekly Invoice 5522 for your review.eml,weekly,uploaded
2023-10-09_1537_Weekly Time Entries for 5522.xlsx,weekly,uploaded
2023-10-16_1748_5568.pdf,weekly,uploaded
2023-10-16_1748_VTD _ Weekly Invoice 5568 for your review.eml,weekly,uploaded
2023-10-16_1748_Weekly Time Entries for 5568.xlsx,weekly,uploaded
2023-10-21_1712_5615.pdf,weekly,uploaded
2023-10-21_1712_VTD _ Weekly Invoice 5615 for your review.eml,weekly,uploaded
2023-10-21_1712_Weekly Time Entries for 5615.xlsx,weekly,uploaded
2023-10-28_1711_5670.pdf,weekly,uploaded
2023-10-28_1711_VTD _ Weekly Invoice 5670 for your review.eml,weekly,uploaded
2023-10-28_1711_Weekly Time Entries for 5670.xlsx,weekly,uploaded
2023-11-04_1712_5780.pdf,weekly,uploaded
2023-11-04_1712_VTD _ Weekly Invoice 5780 for your review.eml,weekly,uploaded
2023-11-04_1712_Weekly Time Entries for 5780.xlsx,weekly,uploaded
2023-11-11_1812_5827.pdf,weekly,uploaded
2023-11-11_1812_VTD _ Weekly Invoice 5827 for your review.eml,weekly,uploaded
2023-11-11_1812_Weekly Time Entries for 5827.xlsx,weekly,uploaded
2023-11-20_2123_5864.pdf,weekly,uploaded
2023-11-20_2123_VTD _ Weekly Invoice 5864 for your review.eml,weekly,uploaded
2023-11-20_2123_Weekly Time Entries for 5864.xlsx,weekly,uploaded
2023-11-25_1812_5904.pdf,weekly,uploaded
2023-11-25_1812_VTD _ Weekly Invoice 5904 for your review.eml,weekly,uploaded
2023-11-25_1812_Weekly Time Entries for 5904.xlsx,weekly,uploaded
2023-12-02_1813_6012.pdf,weekly,uploaded
2023-12-02_1813_VTD _ Weekly Invoice 6012 for your review.eml,weekly,uploaded
2023-12-02_1813_Weekly Time Entries for 6012.xlsx,weekly,uploaded
2023-12-13_2338_8020.pdf,weekly,uploaded
2023-12-13_2338_VTD _ Weekly Invoice 8020 for your review.eml,weekly,uploaded
2023-12-13_2338_Weekly Time Entries for 8020.xlsx,weekly,uploaded
2023-12-18_1750_8225.pdf,weekly,uploaded
2023-12-18_1750_VTD _ Weekly Invoice 8225 for your review.eml,weekly,uploaded
2023-12-18_1750_Weekly Time Entries for 8225.xlsx,weekly,uploaded
2023-12-26_1651_8270.pdf,weekly,uploaded
2023-12-26_1651_VTD _ Weekly Invoice 8270 for your review.eml,weekly,uploaded
2023-12-26_1651_Weekly Time Entries for 8270.xlsx,weekly,uploaded
2024-01-02_1744_8315.pdf,weekly,uploaded
2024-01-02_1744_VTD _ Weekly Invoice 8315 for your review.eml,weekly,uploaded
2024-01-02_1744_Weekly Time Entries for 8315.xlsx,weekly,uploaded
2024-01-07_0135_8465.pdf,weekly,uploaded
2024-01-07_0135_VTD _ Weekly Invoice 8465 for your review.eml,weekly,uploaded
2024-01-07_0135_Weekly Time Entries for 8465.xlsx,weekly,uploaded
2024-01-13_1818_8526.pdf,weekly,uploaded
2024-01-13_1818_VTD _ Weekly Invoice 8526 for your review.eml,weekly,uploaded
2024-01-13_1818_Weekly Time Entries for 8526.xlsx,weekly,uploaded
2024-01-20_1814_8583.pdf,weekly,uploaded
2024-01-20_1814_VTD _ Weekly Invoice 8583 for your review.eml,weekly,uploaded
2024-01-20_1814_Weekly Time Entries for 8583.xlsx,weekly,uploaded
2024-01-27_1817_8638.pdf,weekly,uploaded
2024-01-27_1817_VTD _ Weekly Invoice 8638 for your review.eml,weekly,uploaded
2024-01-27_1817_Weekly Time Entries for 8638.xlsx,weekly,uploaded
2024-02-03_1813_8763.pdf,weekly,uploaded
2024-02-03_1813_VTD _ Weekly Invoice 8763 for your review.eml,weekly,uploaded
2024-02-03_1813_Weekly Time Entries for 8763.xlsx,weekly,uploaded
2024-02-10_1812_8820.pdf,weekly,uploaded
2024-02-10_1812_VTD _ Weekly Invoice 8820 for your review.eml,weekly,uploaded
2024-02-10_1812_Weekly Time Entries for 8820.xlsx,weekly,uploaded
2024-02-17_1814_8885.pdf,weekly,uploaded
2024-02-17_1814_VTD _ Weekly Invoice 8885 for your review.eml,weekly,uploaded
2024-02-17_1814_Weekly Time Entries for 8885.xlsx,weekly,uploaded
2024-02-24_1813_8947.pdf,weekly,uploaded
2024-02-24_1813_VTD _ Weekly Invoice 8947 for your review.eml,weekly,uploaded
2024-02-24_1813_Weekly Time Entries for 8947.xlsx,weekly,uploaded
2024-03-04_1820_9017.pdf,weekly,uploaded
2024-03-04_1820_VTD _ Weekly Invoice 9017 for your review.eml,weekly,uploaded
2024-03-04_1820_Weekly Time Entries for 9017.xlsx,weekly,uploaded
2024-03-09_1835_9176.pdf,weekly,uploaded
2024-03-09_1835_VTD _ Weekly Invoice 9176 for your review.eml,weekly,uploaded
2024-03-09_1835_Weekly Time Entries for 9176.xlsx,weekly,uploaded
2024-03-16_1713_9243.pdf,weekly,uploaded
2024-03-16_1713_VTD _ Weekly Invoice 9243 for your review.eml,weekly,uploaded
2024-03-16_1713_Weekly Time Entries for 9243.xlsx,weekly,uploaded
2024-03-23_1714_9302.pdf,weekly,uploaded
2024-03-23_1714_VTD _ Weekly Invoice 9302 for your review.eml,weekly,uploaded
2024-03-23_1714_Weekly Time Entries for 9302.xlsx,weekly,uploaded
2024-03-30_1713_9378.pdf,weekly,uploaded
2024-03-30_1713_VTD _ Weekly Invoice 9378 for your review.eml,weekly,uploaded
2024-03-30_1713_Weekly Time Entries for 9378.xlsx,weekly,uploaded
2024-04-06_1715_9504.pdf,weekly,uploaded
2024-04-06_1715_VTD _ Weekly Invoice 9504 for your review.eml,weekly,uploaded
2024-04-06_1715_Weekly Time Entries for 9504.xlsx,weekly,uploaded
2024-04-13_1715_9575.pdf,weekly,uploaded
2024-04-13_1715_VTD _ Weekly Invoice 9575 for your review.eml,weekly,uploaded
2024-04-13_1715_Weekly Time Entries for 9575.xlsx,weekly,uploaded
2024-04-22_1804_9674.pdf,weekly,uploaded
2024-04-22_1804_VTD _ Weekly Invoice 9674 for your review.eml,weekly,uploaded
2024-04-22_1804_Weekly Time Entries for 9674.xlsx,weekly,uploaded
2024-04-22_2205_9682.pdf,weekly,uploaded
2024-04-22_2205_VTD _ Weekly Out of Contract Invoice 9682 for your review.eml,weekly,uploaded
2024-04-22_2205_Weekly Time Entries for 9682.xlsx,weekly,uploaded
2024-04-27_1716_9734.pdf,weekly,uploaded
2024-04-27_1716_VTD _ Weekly Invoice 9734 for your review.eml,weekly,uploaded
2024-04-27_1716_Weekly Time Entries for 9734.xlsx,weekly,uploaded
2024-05-01_1555_9755.pdf,weekly,uploaded
2024-05-01_1555_VTD _ Weekly Out of Contract Invoice 9755 for your review.eml,weekly,uploaded
2024-05-01_1555_Weekly Time Entries for 9755.xlsx,weekly,uploaded
2024-05-04_1718_9863.pdf,weekly,uploaded
2024-05-04_1718_VTD _ Weekly Invoice 9863 for your review.eml,weekly,uploaded
2024-05-04_1718_Weekly Time Entries for 9863.xlsx,weekly,uploaded
2024-05-09_1545_9890.pdf,weekly,uploaded
2024-05-09_1545_VTD _ Weekly Out of Contract Invoice 9890 for your review.eml,weekly,uploaded
2024-05-09_1545_Weekly Time Entries for 9890.xlsx,weekly,uploaded
2024-05-11_1722_9930.pdf,weekly,uploaded
2024-05-11_1722_VTD _ Weekly Invoice 9930 for your review.eml,weekly,uploaded
2024-05-11_1722_Weekly Time Entries for 9930.xlsx,weekly,uploaded
2024-05-18_1720_9988.pdf,weekly,uploaded
2024-05-18_1720_VTD _ Weekly Invoice 9988 for your review.eml,weekly,uploaded
2024-05-18_1720_Weekly Time Entries for 9988.xlsx,weekly,uploaded
2024-05-29_1958_10049.pdf,weekly,uploaded
2024-05-29_1958_VTD _ Weekly Invoice 10049 for your review.eml,weekly,uploaded
2024-05-29_1958_Weekly Time Entries for 10049.xlsx,weekly,uploaded
2024-06-01_1718_10089.pdf,weekly,uploaded
2024-06-01_1718_VTD _ Weekly Invoice 10089 for your review.eml,weekly,uploaded
2024-06-01_1718_Weekly Time Entries for 10089.xlsx,weekly,uploaded
2024-06-08_1716_10201.pdf,weekly,uploaded
2024-06-08_1716_VTD _ Weekly Invoice 10201 for your review.eml,weekly,uploaded
2024-06-08_1716_Weekly Time Entries for 10201.xlsx,weekly,uploaded
2024-06-10_2106_10223.pdf,weekly,uploaded
2024-06-10_2106_VTD _ Weekly Out of Contract Invoice 10223 for your review.eml,weekly,uploaded
2024-06-10_2106_Weekly Time Entries for 10223.xlsx,weekly,uploaded
2024-06-17_1704_10257.pdf,weekly,uploaded
2024-06-17_1704_VTD _ Weekly Invoice 10257 for your review.eml,weekly,uploaded
2024-06-17_1704_Weekly Time Entries for 10257.xlsx,weekly,uploaded
2024-06-29_1715_10367.pdf,weekly,uploaded
2024-06-29_1715_VTD _ Weekly Invoice 10367 for your review.eml,weekly,uploaded
2024-06-29_1715_Weekly Time Entries for 10367.xlsx,weekly,uploaded
2024-07-06_1717_10488.pdf,weekly,uploaded
2024-07-06_1717_VTD _ Weekly Invoice 10488 for your review.eml,weekly,uploaded
2024-07-06_1717_Weekly Time Entries for 10488.xlsx,weekly,uploaded
2024-07-08_1745_10503.pdf,weekly,uploaded
2024-07-08_1745_VTD _ Weekly Out of Contract Invoice 10503 for your review.eml,weekly,uploaded
2024-07-08_1745_Weekly Time Entries for 10503.xlsx,weekly,uploaded
2024-07-13_1715_10534.pdf,weekly,uploaded
2024-07-13_1715_VTD _ Weekly Invoice 10534 for your review.eml,weekly,uploaded
2024-07-13_1715_Weekly Time Entries for 10534.xlsx,weekly,uploaded
2024-07-20_1719_10575.pdf,weekly,uploaded
2024-07-20_1719_VTD _ Weekly Invoice 10575 for your review.eml,weekly,uploaded
2024-07-20_1719_Weekly Time Entries for 10575.xlsx,weekly,uploaded
2024-07-27_1715_10617.pdf,weekly,uploaded
2024-07-27_1715_VTD _ Weekly Invoice 10617 for your review.eml,weekly,uploaded
2024-07-27_1715_Weekly Time Entries for 10617.xlsx,weekly,uploaded
2024-08-03_1715_10713.pdf,weekly,uploaded
2024-08-03_1715_VTD _ Weekly Invoice 10713 for your review.eml,weekly,uploaded
2024-08-03_1715_Weekly Time Entries for 10713.xlsx,weekly,uploaded
2024-08-10_1716_10768.pdf,weekly,uploaded
2024-08-10_1716_VTD _ Weekly Invoice 10768 for your review.eml,weekly,uploaded
2024-08-10_1716_Weekly Time Entries for 10768.xlsx,weekly,uploaded
2024-08-17_1716_10808.pdf,weekly,uploaded
2024-08-17_1716_VTD _ Weekly Invoice 10808 for your review.eml,weekly,uploaded
2024-08-17_1716_Weekly Time Entries for 10808.xlsx,weekly,uploaded
2024-08-24_1716_10850.pdf,weekly,uploaded
2024-08-24_1716_VTD _ Weekly Invoice 10850 for your review.eml,weekly,uploaded
2024-08-24_1716_Weekly Time Entries for 10850.xlsx,weekly,uploaded
2024-08-31_1718_10893.pdf,weekly,uploaded
2024-08-31_1718_VTD _ Weekly Invoice 10893 for your review.eml,weekly,uploaded
2024-08-31_1718_Weekly Time Entries for 10893.xlsx,weekly,uploaded
2024-09-07_1715_10996.pdf,weekly,uploaded
2024-09-07_1715_VTD _ Weekly Invoice 10996 for your review.eml,weekly,uploaded
2024-09-07_1715_Weekly Time Entries for 10996.xlsx,weekly,uploaded
2024-09-14_1714_11039.pdf,weekly,uploaded
2024-09-14_1714_VTD _ Weekly Invoice 11039 for your review.eml,weekly,uploaded
2024-09-14_1714_Weekly Time Entries for 11039.xlsx,weekly,uploaded
2024-09-23_0725_11075.pdf,weekly,uploaded
2024-09-23_0725_VTD _ Weekly Invoice 11075 for your review.eml,weekly,uploaded
2024-09-23_0725_Weekly Time Entries for 11075.xlsx,weekly,uploaded
2024-09-28_1716_11114.pdf,weekly,uploaded
2024-09-28_1716_VTD _ Weekly Invoice 11114 for your review.eml,weekly,uploaded
2024-09-28_1716_Weekly Time Entries for 11114.xlsx,weekly,uploaded
2024-10-05_1715_11216.pdf,weekly,uploaded
2024-10-05_1715_VTD _ Weekly Invoice 11216 for your review.eml,weekly,uploaded
2024-10-05_1715_Weekly Time Entries for 11216.xlsx,weekly,uploaded
2024-10-12_1716_11250.pdf,weekly,uploaded
2024-10-12_1716_VTD _ Weekly Invoice 11250 for your review.eml,weekly,uploaded
2024-10-12_1716_Weekly Time Entries for 11250.xlsx,weekly,uploaded
2024-10-28_2146_11309.pdf,weekly,uploaded
2024-10-28_2146_VTD _ Weekly Invoice 11309 for your review.eml,weekly,uploaded
2024-10-28_2146_Weekly Time Entries for 11309.xlsx,weekly,uploaded
2024-11-02_1715_11349.pdf,weekly,uploaded
2024-11-02_1715_VTD _ Weekly Invoice 11349 for your review.eml,weekly,uploaded
2024-11-02_1715_Weekly Time Entries for 11349.xlsx,weekly,uploaded
2024-11-09_1817_11439.pdf,weekly,uploaded
2024-11-09_1817_VTD _ Weekly Invoice 11439 for your review.eml,weekly,uploaded
2024-11-09_1817_Weekly Time Entries for 11439.xlsx,weekly,uploaded
2024-11-18_1413_11475.pdf,weekly,uploaded
2024-11-18_1413_VTD _ Weekly Invoice 11475 for your review.eml,weekly,uploaded
2024-11-18_1413_Weekly Time Entries for 11475.xlsx,weekly,uploaded
2024-11-23_1815_11512.pdf,weekly,uploaded
2024-11-23_1815_VTD _ Weekly Invoice 11512 for your review.eml,weekly,uploaded
2024-11-23_1815_Weekly Time Entries for 11512.xlsx,weekly,uploaded
2024-11-30_1814_11541.pdf,weekly,uploaded
2024-11-30_1814_VTD _ Weekly Invoice 11541 for your review.eml,weekly,uploaded
2024-11-30_1814_Weekly Time Entries for 11541.xlsx,weekly,uploaded
2024-12-07_1816_11632.pdf,weekly,uploaded
2024-12-07_1816_VTD _ Weekly Invoice 11632 for your review.eml,weekly,uploaded
